State,2016 Rate,2016 Rank
Hawaii,2.9,1
New Hampshire,2.9,1
South Dakota,3.0,3
Colorado,3.1,4
Nebraska,3.1,4
North Dakota,3.1,4
Vermont,3.1,4
Utah,3.3,8
Iowa,3.6,9
Idaho,3.7,10
Maine,3.8,11
Minnesota,3.9,12
Wisconsin,3.9,12
Arkansas,4.0,14
Kansas,4.0,14
Massachusetts,4.0,14
Virginia,4.0,14
Maryland,4.3,18
Montana,4.3,18
Indiana,4.4,20
Delaware,4.5,21
Missouri,4.5,21
Oklahoma,4.6,23
Texas,4.6,23
Oregon,4.7,25
Tennessee,4.7,25
Connecticut,4.8,27
Florida,4.9,28
New Jersey,4.9,28
New York,4.9,28
South Carolina,4.9,28
Kentucky,5.0,32
Michigan,5.0,32
Ohio,5.0,32
North Carolina,5.1,35
Rhode Island,5.2,36
Washington,5.2,36
Pennsylvania,5.3,38
Georgia,5.4,39
Wyoming,5.4,39
Arizona,5.5,41
California,5.5,41
Nevada,5.8,43
Alabama,5.9,44
Illinois,5.9,44
Mississippi,5.9,44
Louisiana,6.1,47
West Virginia,6.1,47
District of Columbia,6.2,49
Alaska,6.6,50
New Mexico,6.7,51
