State,2018 Rate,2018 Rank
Hawaii,2.4,1
North Dakota,2.5,2
Iowa,2.6,3
New Hampshire,2.6,3
Vermont,2.6,3
Idaho,2.8,6
Nebraska,2.9,7
South Dakota,2.9,7
Utah,2.9,7
Virginia,2.9,7
Colorado,3.0,11
Minnesota,3.0,11
Wisconsin,3.0,11
Maine,3.1,14
Missouri,3.2,15
Kansas,3.3,16
Oklahoma,3.3,16
Indiana,3.4,18
Massachusetts,3.4,18
South Carolina,3.4,18
Tennessee,3.5,21
Florida,3.6,22
Arkansas,3.7,23
Delaware,3.7,23
Maryland,3.8,25
Montana,3.8,25
Alabama,3.9,27
Connecticut,3.9,27
Texas,3.9,27
Georgia,4.0,30
New Jersey,4.0,30
North Carolina,4.0,30
Oregon,4.0,30
Wyoming,4.0,30
New York,4.1,35
Rhode Island,4.1,35
Kentucky,4.2,37
Michigan,4.2,37
California,4.3,39
Illinois,4.4,40
Nevada,4.4,40
Pennsylvania,4.4,40
Washington,4.4,40
Ohio,4.5,44
Arizona,4.8,45
Louisiana,4.8,45
New Mexico,4.9,47
Mississippi,5.0,48
West Virginia,5.2,49
District of Columbia,5.7,50
Alaska,5.9,51
